candidate_id,title,total_votes,vote_count,average_vote,budget_allocation
0,#vote_for Project,327,111,2.95,30402
1,Awaji Island Quest College,430,115,3.74,39978
2,Inatori Art Center Plan,337,108,3.12,31331
3,JINEN TRAVEL,330,104,3.17,30681
4,Bio Rice Field Project,415,114,3.64,38583
5,Para Travel Support Team,373,114,3.27,34678
6,Chiba Youth Center PRISM,477,117,4.08,44347
