vote_value,observed_count,uniform_expected,cost_adjusted_expected,cost,expected_ratio
1,138,103.44444444444444,604.6366482136021,1,0.6494486017331924
2,157,103.44444444444444,151.15916205340054,4,0.1623621504332981
3,156,103.44444444444444,67.18184980151135,9,0.07216095574813249
4,123,103.44444444444444,37.789790513350134,16,0.040590537608324526
5,90,103.44444444444444,24.185465928544083,25,0.025977944069327696
6,54,103.44444444444444,16.795462450377837,36,0.01804023893703312
7,35,103.44444444444444,12.339523432930655,49,0.013254053096595763
8,12,103.44444444444444,9.447447628337533,64,0.010147634402081131
9,18,103.44444444444444,7.4646499779457045,81,0.00801788397201472
