candidate_id,title,total_votes,vote_count,average_vote
0,政を祭に変える #vote_forプロジェクト,327,111,2.95
1,淡路島クエストカレッジ,430,115,3.74
2,イナトリアートセンター計画,337,108,3.12
3,JINEN TRAVEL,330,104,3.17
4,ビオ田んぼプロジェクト,415,114,3.64
5,パラ旅応援団,373,114,3.27
6,10代・20代の「いま、やりたい」を後押しする拠点　ちばユースセンターPRISM,477,117,4.08
