candidate_id,title,description
0,政を祭に変える #vote_forプロジェクト,https://docs.google.com/presentation/d/1BxjoCdFAQ0qkPH3rO9WBKrit8OjK2F-5rXU-UpCEL4I/edit?usp=drive_link
1,淡路島クエストカレッジ,https://docs.google.com/presentation/d/1SRpYpqrhHikr2a_AVf8Q00XZUoIST7mFhniJ-FxVsHs/edit?usp=drive_link
2,イナトリアートセンター計画,https://docs.google.com/presentation/d/138WwVv9wIxkR7P68owyOYuezK9ed3ESJ47kdrsolzeE/edit?usp=drive_link
3,JINEN TRAVEL,https://docs.google.com/presentation/d/1kRqwm7Vps9G9h7oWLJ84HQ0-Gts7PtUZKWCjUPtY_UQ/edit?usp=drive_link
4,ビオ田んぼプロジェクト,https://docs.google.com/presentation/d/1azjq5PnnL57A_KHLWwc8mSUYPv1-0-KXKL8roo0dnWA/edit?usp=drive_link
5,パラ旅応援団,https://docs.google.com/presentation/d/1vPl5zX2gL48Yl9YpwbOJ3pJaERe37V2TOQW5cPCVXdM/edit?usp=drive_link
6,10代・20代の「いま、やりたい」を後押しする拠点　ちばユースセンターPRISM,https://docs.google.com/presentation/d/1ifaAI0ZaBhh7kYprT0UPhc6quR92hgb5CokIuNeAmIk/edit?usp=drive_link
