title,votes_qv,budget_allocation_qv,percentage_qv,votes_opov,budget_allocation_opov,percentage_opov,votes_diff,budget_diff,percentage_diff
Awaji Island Quest College,608,44470.450555880634,17.788180222352253,38.49285714285714,54063.00160513644,21.625200642054573,569.5071428571429,-9592.551049255802,-3.83702041970232
Chiba Youth Center PRISM,593,43373.31772966647,17.34932709186659,43.292857142857144,60804.5746388443,24.32182985553772,549.7071428571428,-17431.256909177828,-6.97250276367113
Bio Rice Field Project,509,37229.37390286717,14.891749561146868,27.159523809523808,38145.398608881755,15.258159443552701,481.8404761904762,-916.0247060145848,-0.36640988240583283
Para Travel Support Team,471,34449.970743124635,13.779988297249854,17.876190476190477,25107.00909577314,10.042803638309257,453.12380952380954,9342.961647351494,3.7371846589405973
#vote_for Project,450,32913.98478642481,13.165593914569923,17.626190476190477,24755.885500267523,9.902354200107009,432.37380952380954,8158.099286157285,3.263239714462914
JINEN TRAVEL,395,28891.164423639555,11.556465769455821,17.04285714285714,23936.597110754414,9.574638844301765,377.95714285714286,4954.567312885141,1.9818269251540563
Inatori Art Center Plan,392,28671.737858396726,11.46869514335869,16.509523809523806,23187.533440342424,9.27501337613697,375.4904761904762,5484.204418054302,2.1936817672217206
