candidate_id,project_name,buried_voices,strong_votes,max_votes
0,#vote_for Project,22,36,16
1,Awaji Island Quest College,33,63,30
2,Inatori Art Center Plan,29,42,13
3,JINEN TRAVEL,20,35,15
4,Bio Rice Field Project,37,55,18
5,Para Travel Support Team,26,39,13
6,Chiba Youth Center PRISM,35,62,28
