Project,Total Votes,Mean,Median,Std Dev,Min,Max,Voters,Mode,Zero Votes,Budget Allocation,Budget Percentage
Awaji Island Quest College,608,4.080536912751678,4.0,2.3729934046056425,1,9,149,4,32,44470.450555880634,17.788180222352253
Chiba Youth Center PRISM,593,4.061643835616438,4.0,2.3238566278003443,1,9,146,3,35,43373.31772966647,17.34932709186659
Bio Rice Field Project,509,3.617021276595745,3.0,1.9881192312236937,1,9,141,2,39,37229.37390286717,14.891749561146868
Para Travel Support Team,471,3.3642857142857143,3.0,1.909415446396822,1,9,140,3,41,34449.970743124635,13.779988297249854
#vote_for Project,450,3.237410071942446,3.0,1.8836010736095028,1,9,139,2,42,32913.98478642481,13.165593914569923
JINEN TRAVEL,395,3.0538461538461537,2.0,2.069230769230769,1,9,130,1,50,28891.164423639555,11.556465769455821
Inatori Art Center Plan,392,2.9923664122137406,2.0,1.8595582796764079,1,9,131,2,50,28671.737858396726,11.46869514335869
