count,mean,std,min,max,one_vote_count,name,one_vote_percentage,zero_vote_count,expected_one_vote_count,one_vote_deviation,one_vote_deviation_percentage
181,2.4861878453038675,2.1489215248755986,0,9,21,Politics to Festival #vote_for Project,11.602209944751381,-2,20.11111111111111,0.8888888888888893,4.419889502762433
181,3.3591160220994474,2.664225401879436,0,9,21,Awaji Island Quest College,11.602209944751381,-2,20.11111111111111,0.8888888888888893,4.419889502762433
181,2.165745856353591,2.0776958716453624,0,9,30,Inatori Art Center Plan,16.574585635359114,-2,20.11111111111111,9.88888888888889,49.171270718232044
181,2.18232044198895,2.2496708715009412,-2,9,36,JINEN TRAVEL,19.88950276243094,-2,20.11111111111111,15.88888888888889,79.00552486187846
181,2.8121546961325965,2.323327665785182,-1,9,19,Bio Rice Field Project,10.497237569060774,-2,20.11111111111111,-1.1111111111111107,-5.524861878453037
181,2.6022099447513813,2.197674422381405,0,9,23,Para Travel Support Team,12.70718232044199,-2,20.11111111111111,2.8888888888888893,14.364640883977902
181,3.276243093922652,2.6396420688586075,0,9,25,Chiba Youth Center PRISM - Support for Teens and 20s,13.812154696132598,-2,20.11111111111111,4.888888888888889,24.30939226519337
