candidate_id,project_name,buried_voices_t1,buried_voices_t4,votes_count_t1,votes_count_t4,max_votes
0,#vote_for Project,95,22,111,36,16
1,Awaji Island Quest College,85,33,115,63,30
2,Inatori Art Center Plan,95,29,108,42,13
3,JINEN TRAVEL,89,20,104,35,15
4,Bio Rice Field Project,96,37,114,55,18
5,Para Travel Support Team,101,26,114,39,13
6,Chiba Youth Center PRISM,89,35,117,62,28
