candidate_id,title,title_en,total_votes,vote_count,average_vote,title_original,budget_allocation
0,#vote_for Project,#vote_for Project,450,139,3.24,政を祭に変える #vote_forプロジェクト,32914
1,Awaji Island Quest College,Awaji Island Quest College,608,149,4.08,淡路島クエストカレッジ,44470
2,Inatori Art Center Plan,Inatori Art Center Plan,392,131,2.99,イナトリアートセンター計画,28672
3,JINEN TRAVEL,JINEN TRAVEL,395,130,3.05,JINEN TRAVEL,28891
4,Bio Rice Field Project,Bio Rice Field Project,509,141,3.62,ビオ田んぼプロジェクト,37229
5,Para Travel Support Team,Para Travel Support Team,471,140,3.36,パラ旅応援団,34450
6,Chiba Youth Center PRISM,Chiba Youth Center PRISM,593,146,4.06,10代・20代の「いま、やりたい」を後押しする拠点　ちばユースセンターPRISM,43373
