vote_value,observed_count,uniform_expected,cost_adjusted_expected,cost,expected_ratio
1,175,140.77777777777777,822.8513783959548,1,0.6494486017331924
2,204,140.77777777777777,205.7128445989887,4,0.1623621504332981
3,182,140.77777777777777,91.42793093288385,9,0.07216095574813249
4,146,140.77777777777777,51.42821114974718,16,0.040590537608324526
5,106,140.77777777777777,32.91405513583819,25,0.025977944069327696
6,61,140.77777777777777,22.856982733220963,36,0.01804023893703312
7,44,140.77777777777777,16.79288527338683,49,0.013254053096595763
8,18,140.77777777777777,12.857052787436794,64,0.010147634402081131
9,40,140.77777777777777,10.158658992542652,81,0.00801788397201472
