rank,id,name_ja,name_en,total_votes,voters,avg_vote
1,6,10代・20代の「いま、やりたい」を後押しする拠点　ちばユースセンターPRISM,Chiba Youth Center PRISM,441,109,4.05
2,1,淡路島クエストカレッジ,Awaji Island Quest College,394,108,3.65
3,4,ビオ田んぼプロジェクト,Bio Rice Field Project,394,108,3.65
4,5,パラ旅応援団,Para Travel Support Team,344,105,3.28
5,3,JINEN TRAVEL,JINEN TRAVEL,315,99,3.18
6,0,政を祭に変える #vote_forプロジェクト,#vote_for Project,314,106,2.96
7,2,イナトリアートセンター計画,Inatori Art Center Plan,311,100,3.11
